,Variable,Climate,Hue,Season,max,75%,50%,25%,min,std,mean,count
tmax bias (°C),tmax,BSh + BSk: Hot and cold semi-arid (steppe),Other,summer,1.199360955,0.7371388237500001,0.366734469,0.045144317,-0.868258425,0.562240220180139,0.3538255607857143,14.0
tmax bias (°C),tmax,Cfa: Humid subtropical,Alfalfa,summer,0.263533819,0.187818686,0.112103553,0.036388420000000005,-0.039326713,0.21415473593096535,0.112103553,2.0
tmax bias (°C),tmax,Cfa: Humid subtropical,Corn,summer,1.483136172,1.049007342,0.673296426,0.395607764,-0.504103693,0.47695602559236583,0.6772934258148147,27.0
tmax bias (°C),tmax,Cfa: Humid subtropical,Cotton,summer,1.468386098,1.0024679895000002,0.7958172505,0.553008566,0.401167105,0.3508192773266562,0.8465335935714285,14.0
tmax bias (°C),tmax,Cfa: Humid subtropical,Other,summer,3.016432106,0.9967743984999999,0.7399928155,0.29566798075,-1.634113528,0.634111625805773,0.6851233079181818,110.0
tmax bias (°C),tmax,Cfa: Humid subtropical,Wheat,summer,0.715494489,0.561465568,0.401503195,0.1509652745,-0.214490612,0.2544568057870968,0.3404080505652174,23.0
tmax bias (°C),tmax,Cfa: Humid subtropical,Soybeans,summer,1.327582164,1.125774116,0.958559858,0.731214495,-0.129953829,0.48348324526707215,0.8050394522307692,13.0
tmax bias (°C),tmax,Csa + Csb: Hot- and warm-summer Mediterranean,Other,summer,0.052055425,-0.21251639375000003,-0.47708821250000005,-0.74166003125,-1.00623185,0.7483221085959326,-0.4770882125,2.0
tmax bias (°C),tmax,Dfa + Dfb: Hot- and warm-summer humid continental,Alfalfa,summer,0.149479489,0.149479489,0.149479489,0.149479489,0.149479489,,0.149479489,1.0
tmax bias (°C),tmax,Dfa + Dfb: Hot- and warm-summer humid continental,Corn,summer,1.457233193,0.6103627894999999,0.2884074805,0.01307451225,-0.819411927,0.44891547511254887,0.29926083762499994,48.0
tmax bias (°C),tmax,Dfa + Dfb: Hot- and warm-summer humid continental,Other,summer,1.727734657,0.787613263,0.54120746,0.222926049,-0.75217477,0.5193714905016883,0.5031825756140351,57.0
tmax bias (°C),tmax,Dfa + Dfb: Hot- and warm-summer humid continental,Wheat,summer,1.269962164,0.537416541,0.300823119,0.102721732,-0.787704151,0.4148625583420978,0.3137203517931035,29.0
tmax bias (°C),tmax,Dfa + Dfb: Hot- and warm-summer humid continental,Soybeans,summer,1.18361131,0.502876192,0.356994863,0.10390792,-0.839499858,0.4291709409536872,0.3172506185238094,21.0
ETr bias ratio,ETr,BSh + BSk: Hot and cold semi-arid (steppe),"high, > 80 %",summer,1.4155776080878415,1.160322290692329,1.0899716800014145,1.031885426970021,0.8662468998451935,0.10252300387912947,1.092072137755407,168.0
ETr bias ratio,ETr,BSh + BSk: Hot and cold semi-arid (steppe),"medium, [20-80] %",summer,1.3050829397979482,1.1799455047063652,1.0724903947908198,0.9983045807429056,0.8625189937758468,0.12809663978784303,1.085574332159088,13.0
ETr bias ratio,ETr,BSh + BSk: Hot and cold semi-arid (steppe),"low, < 20 %",summer,1.2629875177468872,1.1920932224614875,1.1511633154928056,1.018119892521245,0.9309051741358403,0.09852192780086376,1.116549289392604,22.0
